PID,Gist_English_by_Sant_Singh
P0001L01,"One Universal Creator God, TheName Is Truth Creative Being Personified No Fear No Hatred Image Of The Undying, Beyond Birth, Self-Existent. By Guru's Grace~"
P0001L02,Chant And Meditate:
P0001L03,True In The Primal Beginning. True Throughout The Ages.
P0001L04,"True Here And Now. O Nanak, Forever And Ever True. ||1||"
P0001L05,"By thinking, He cannot be reduced to thought, even by thinking hundreds of thousands of times."
P0001L06,"By remaining silent, inner silence is not obtained, even by remaining lovingly absorbed deep within."
P0001L07,"The hunger of the hungry is not appeased, even by piling up loads of worldly goods."
P0001L08,"Hundreds of thousands of clever tricks, but not even one of them will go along with you in the end."
P0001L09,So how can you become truthful? And how can the veil of illusion be torn away?
P0001L10,"O Nanak, it is written that you shall obey the Hukam of His Command, and walk in the Way of His Will. ||1||"
P0001L11,"By His Command, bodies are created; His Command cannot be described."
P0001L12,"By His Command, souls come into being; by His Command, glory and greatness are obtained."
P0001L13,"By His Command, some are high and some are low; by His Written Command, pain and pleasure are obtained."
P0001L14,"Some, by His Command, are blessed and forgiven; others, by His Command, wander aimlessly forever."
P0001L15,Everyone is subject to His Command; no one is beyond His Command.
P0001L16,"O Nanak, one who understands His Command, does not speak in ego. ||2||"
P0001L17,Some sing of His Power-who has that Power?
P0001L18,"Some sing of His Gifts, and know His Sign and Insignia."
P0001L19,"Some sing of His Glorious Virtues, Greatness and Beauty."
P0001L20,"Some sing of knowledge obtained of Him, through difficult philosophical studies."
P0001L21,"Some sing that He fashions the body, and then again reduces it to dust."
P0001L22,"Some sing that He takes life away, and then again restores it."
P0001L23,Some sing that He seems so very far away.
P0002L01,"Some sing that He watches over us, face to face, ever-present."
P0002L02,There is no shortage of those who preach and teach.
P0002L03,Millions upon millions offer millions of sermons and stories.
P0002L04,"The Great Giver keeps on giving, while those who receive grow weary of receiving."
P0002L05,"Throughout the ages, consumers consume."
P0002L06,"The Commander, by His Command, leads us to walk on the Path."
P0002L07,"O Nanak, He blossoms forth, Carefree and Untroubled. ||3||"
P0002L08,"True is the Master, True is His Name-speak it with infinite love."
P0002L09,"People beg and pray, """"Give to us, give to us"""", and the Great Giver gives His Gifts."
