PID,Gist_Hindi_by_Sant_Singh
P0001L01,"ੴ- इस शब्द का शुद्ध उच्चारण है - 'एक ओंकार'। इसके उच्चारण में इसके तीन अंश किए जाते हैं। इन तीनों के भावार्थ भी अलग-अलग ही हैं। १ - एक (अद्वितीय)। ऑ- वही। ओंकार (~) निरंकार ; अर्थात्-ब्रह्म, करतार, ईश्वर, परमात्मा, भगवान, वाहिगुरु । १ ऑ- निरंकार वही एक है। सति नामु - उसका नाम सत्य है। करता - वह सृष्टि व उसके जीवों की रचना करने वाला है। पुरखु - वह यह सब कुछ करने में परिपूर्ण (शक्तिवान) है। निरभउ - उसमें किसी तरह का भय व्याप्त नहीं। अर्थात् - अन्य देव-दैत्यों तथा सांसारिक जीवों की भाँति उसमें द्वेष अथवा जन्म-मरण का भय नहीं है ; वह इन सबसे परे हैं। निरवैरु- वह बैर (द्वेष/दुश्मनी) से रहित है। अकाल- वह काल (मृत्यु) से परे है; अर्थात्-वह अविनाशी है। मूरति - वह अविनाशी होने के कारण उसका अस्तित्व सदैव रहता है। अजूनी - वह कोई योनि धारण नहीं करता, क्योंकि वह आवागमन के चक्कर से रहित है। सैभं - वह स्वयं से प्रकाशमान हुआ है। गुर - अंधकार (अज्ञान) में प्रकाश (ज्ञान) करने वाला (गुरु)। प्रसादि- कृपा की बख्शिश। अर्थात्-गुरु की कृपा से यह सब उपलब्ध हो सकता है।"
P0001L02,जाप करो। (इसे गुरु की वाणी का शीर्षक भी माना गया है।)
P0001L03,"निरंकार (अकाल पुरुष) सृष्टि की रचना से पहले सत्य था, युगों के प्रारम्भ में भी सत्य (स्वरूप) था।"
P0001L04,"अब वर्तमान में भी उसी का अस्तित्व है, श्री गुरु नानक देव जी का कथन है  भविष्य में भी उसी सत्यस्वरूप निरंकार का अस्तित्व होगा II १ II"
P0001L05,यदि कोई लाख बार शौच (स्नानादि) करता रहे तो भी इस शरीर के बाहरी स्नान से मन की पवित्रता नहीं हो सकती। मन की पवित्रता के बिना परमेश्वर (वाहिगुरु) के प्रति विचार भी नहीं किया जा सकता।
P0001L06,यदि कोई एकाग्रचित्त समाधि लगाकर मुँह से चुप्पी धारण कर ले तो भी मन की शांति (चुप) प्राप्त नहीं हो सकती; जब तक कि मन से झूठे विकार नहीं निकल जाते।
P0001L07,बेशक कोई जगत् की समस्त पुरियों के पदार्थों को ग्रहण कर ले तो भी पेट से भूखे रह कर (व्रत आदि करके) इस मन की तृष्णा रूपी भूख को नहीं मिटा सकता।
P0001L08,चाहे किसी के पास हज़ारों-लाखों चतुराई भरे विचार हों लेकिन ये सब अहंयुक्त होने के कारण परमेश्वर तक पहुँचने में कभी सहायक नहीं होते।
P0001L09,"अब प्रश्न पैदा होता है कि फिर परमात्मा के समक्ष सत्य का प्रकाश पुंज कैसे बना जा सकता है, हमारे और निरंकार के बीच मिथ्या की जो दीवार है वह कैसे टूट सकती है ?"
P0001L10,सत्य रूप होने का मार्ग बताते हुए श्री गुरु नानक देव जी कथन करते हैं - यह सृष्टि के प्रारंभ से ही लिखा चला आ रहा है कि ईश्वर के आदेश अधीन चलने से ही सांसारिक प्राणी यह सब कर सकता है II १ II
P0001L11,"(सृष्टि की रचना में) समस्त शरीर (निरंकार के) आदेश द्वारा ही रचे गए हैं, किन्तु उसके आदेश को मुँह से शब्द निकाल कर ब्यान नहीं किया जा सकता।"
P0001L12,"परमेश्वर के आदेश से (इस धरा पर) अनेकानेक योनियों में जीवों का सृजन होता है, उसी के आदेश से ही मान-सम्मान (अथवा ऊँच - नीच का पद) प्राप्त होता है।"
P0001L13,"परमेश्वर (वाहिगुरु) के आदेश से ही जीव श्रेष्ठ अथवा निम्न जीवन प्राप्त करता है, उसके द्वारा ही लिखे गए आदेश से जीव सुख और दुख की अनुभूति करता है।"
P0001L14,"परमात्मा के आदेश से ही कई जीवों को कृपा मिलती है, कई उसके आदेश से आवागमन के चक्र में फँसे रहते हैं।"
P0001L15,"उस सर्वोच्च शक्ति परमेश्वर के अधीन ही सब-कुछ रहता है, उससे बाहर संसार का कोई कार्य नहीं है।"
P0001L16,हे नानक ! यदि जीव उस अकाल पुरुष के आदेश को प्रसन्नचित्त होकर जान ले तो कोई भी आहंकारमयी 'मैं' के वश में नहीं रहेगा। यही अहंतत्व सांसारिक वैभव में लिप्त प्राणी को निरंकार के निकट नहीं होने देता॥ २ II
P0001L17,"(परमेश्वर की कृपा से ही) जिस किसी के पास आत्मिक शक्ति है, वही उस (सर्वशक्तिमान) की ताकत का यश गायन कर सकता है।"
P0001L18,कोई उसके द्वारा प्रदत बख्शिशों को (उसकी) कृपादृष्टि मानकर ही उसकी कीर्ति का गुणगान कर रहा है।
P0001L19,कोई जीव उसके अकथनीय गुणों व महिमा को गा रहा है।
P0001L20,कोई उसके विषम विचारों (ज्ञान) का गान विद्या द्वारा कर रहा है।
P0001L21,कोई उसका गुणगान रचयिता व संहारक ईश्वर का रूप जानकर करता है।
P0001L22,कोई उसका बखान इस प्रकार करता है कि वह परम सत्ता जीवन देकर फिर वापिस ले लेती है।
P0001L23,कोई जीव उस निरंकार को स्वयं से दूर जानकर उसका यश गाता है।
P0002L01,कोई उसे अपने अंग-संग जानकर उसकी महिमा गाता है।
P0002L02,अनेकानेक ने उसकी कीर्ति का कथन किया है किन्तु फिर अन्त नहीं हुआ।
P0002L03,"करोड़ों जीवों ने उसके गुणों का कथन किया है, फिर भी-उसका वास्तविक स्वरूप पाया नहीं जा सका।"
P0002L04,"अकाल पुरुष दाता बनकर जीव को भौतिक पदार्थ (अथक) देता ही जा रहा है, (परंतु) जीव लेते हुए थक जाता है।"
P0002L05,समस्त जीव युगों-युगों से इन पदार्थों का भोग करते आ रहे हैं।
P0002L06,आदेश करने वाले निरंकार की इच्छा से ही (सम्पूर्ण सृष्टि के) मार्ग चल रहे हैं।
P0002L07,श्री गुरु नानक देव जी सृष्टि के जीवों को सुचेत करते हुए कहते हैं कि वह निरंकार (वाहिगुरु) चिंता रहित होकर (इस संसार के जीवों पर) सदैव प्रसन्न रहता है॥ ३॥
