PID,Trans_Hindi_by_Sahib_Singh,Note_by_Sahib_Singh,Bhaav_by_Sahib_Singh,PadArath_by_Sahib_Singh,
P0001L01,अकाल-पुरख एक है~ जिसका नाम ‘अस्तित्व वाला’ है जो सृष्टि का रचनहार है~ (करता है) जो सभ में व्यापक है~ भय से रहित है (निर्भय)~ वैर से रहित है (निर्वेर)~ जिसका स्वरूप काल से परे है~ (भाव~ जिसका शरीर नाश-रहित है)~ जो यौनियों में नहीं आता~जिसका प्रकाश अपने आप से हुआ है और जो सत्गुरू की कृपा से मिलता है।नोट: ये उपरोक्त बाणी गुरसिख्खी का मूलमंत्र है। इससे आगे लिखी गई बाणी का नाम है ‘जपु’। ये बात याद रखने वाली है कि ये ‘मूलमंत्र’ अलग है और बाणी ‘जपु’ अलग। श्री गुरू ग्रंथ साहिब के आरम्भ में ये मूलमंत्र लिखा है। जैसे हरेक राग के शुरू में भी लिखा मिलता है। बाणी ‘जपु’ लफ्ज ‘आदि सचु’ से शुरू होती है। बाणी ‘आसा दी वार’ के शुरू में भी यही मूलमंत्र है~ पर ‘वार’ से इसका कोई संबंध नहीं है। ठीक वैसे ही यहाँ भी है। ‘जपु’ के आरम्भ में मंगलाचरण के तौर पर एक शलोक उच्चारा गया है~ फिर ‘जपु’ साहिब की 38 पौड़ियां हैं।,,,"
१ओअंकार का उच्चारण करने के लिए इसके तीन हिस्से किए जाते हैं– १~ ਓ~ और &nbsp;͡ &nbsp;: इसका पाठ है ‘इक ओअंकार’। तीनों हिस्सों का अलग-अलग उच्चारण ऐसे बनता है: १ = इक। ਓ = ओअं। &nbsp;͡ &nbsp; = कार।
ਓਂ ‘ओअं’ संस्कृत का शब्द है। अमर कोश के अनुसार इसके तीन अर्थ हैं:
वेद आदि धर्म पुस्तकों के आरम्भ तथा अंत में~ प्रार्थना व किसी पवित्र धार्मिक कार्य आरम्भ में अक्षर ‘ओं’ पवित्र अक्षर मान के इस्तेमाल किया जाता है।
किसी आदेश व प्रश्न आदि के उत्तर में आदर व सत्कार से ‘जी हाँ’ कहना । सो~ ‘ओं’ का अर्थ है ‘जी हाँ’।
ओअं = ब्रह्म।
इनमें से कौन सा अर्थ इस शब्द का यहाँ लिया जाना है– इसे दृढ़ करने के लिए शब्द ‘ओअं’ से पहले ‘१’ लिख दिया है। इसका भाव ये है कि यहां ‘ओअं’ का अर्थ है ‘वह हस्ती जो एक है। जिस जैसा और कोई नहीं है और जिसमें ये सारा जगत समा जाता है’।
तीसरा हिस्सा &nbsp; ͡ &nbsp; है~ जिसका उच्चारण है ‘कार’। ‘कार’ संस्कृत का एक पिछोत्तर (प्रत्यय) है। आम तौर पर ये प्रत्यय ‘संज्ञा’ के आखिर में इस्तेमाल किया जाता है। इसका अर्थ है ‘एक रस~ जिस में परिवर्तन ना आए’।

एकंकारु = एक ओअंकार~ वह एक ओं जो एक रस है~ जो हर जगह व्यापक है।
सो~ ੴका उच्चारण है‘इक (एक) ओअंकार’ और इसके अर्थ है “एक अकाल पुरख~ जो एक रस सर्व-व्यापक है”।
सतिनामु = जिसका नाम ‘सति’ है। लफ्ज सति का संस्कृत स्वरूप सत्य है~ इसका अर्थ है ‘अस्तित्व वाला’। इस का धातु ‘अस’ है~ जिसके अर्थ हैं ‘होना’। इस तरह ‘सतिनाम’ के अर्थ हैं “वह एक ओअंकार~ जिसका नाम है अस्तित्व वाला’।
पुरखु = संस्कृत में व्योतिपत्ति अनुसार इस शब्द के अर्थ यूँ किए गए हैं~ ‘पूरिशेते इति पुरष:’~ अर्थात जो शरीर में लेटा हुआ है। संस्कृत में आम प्रचलित अर्थ है ‘मनॅुख’। भगवत गीता में ‘पुरखु’~ ‘आत्मा’ के अर्तों में इस्तेमाल हुआ है। ‘रघुवंश’ में ये शब्द ‘ब्राह्मण्ड वा आत्मा’ के अर्तों में आया है~ इसी तरह पुस्तक ‘शिशुपाल वध’ में भी।
श्री गुरू ग्रंथ साहिब में ‘पुरखु’ का अर्थ है ‘वह ओअंकार जो सारे जगत में व्यापक है~ वह आत्मा जो सारी सृष्टि में रम रही है’। ‘मनुख’ और ‘आत्मा’ अर्तों में भी ये शब्द कई जगह आया है।
अकाल मूरति = शब्द ‘मूर्ति’ स्त्रीलिंग है~ ‘अकाल’ इसका विशषण है~ ये भी स्त्रीलिंग रूप में लिखा गया है। अगर शब्द ‘अकाल’ अकेला ही ‘पुरखु’~ ‘निरभउ’~ ‘निरवैर’ की तरह ‘इक ओअंकार’ का गुणवाचक होता तो पुलिंग रूप में होता~ तो इसके अंत में भी (ु) की मात्रा होती।नोट: शब्द ‘मूरति’ (मूर्ति) तथा ‘मूरतु’ का भेद जानना जरूरी है। ‘मूरति’ के साथ सदा (ि) की मात्रा लगती है और स्त्रीलिंग है। इसका अर्थ है ‘स्वरूप’। संस्कृत का शब्द है।लफ्ज ‘मुरतु’ संस्कृत का शब्द ‘महूरत’ है। महूरत आदि शब्द समय के लिए इस्तेमाल होते हैं। ये शब्द पुलिंग है।
अजूनी = योनियों से रहित~ जो जन्म में नहीं आता।
सैभं = स्वयंभू (स्व = स्वयं। भं = भू) अपने आप से होने वाला~ जिसका प्रकाश अपने आप से हुआ है।
गुर प्रसादि = गुरू के प्रसाद से~ गुरू की कृपा द्वारा~ भाव~ उपरोक्त ‘इक (एक) ओअंकार’ गुरू की कृपा से प्राप्त होता है।",
P0001L02,इस सारी बाणी का नाम ‘जपु’ है ।,,,"इस सारी बाणी का नाम ‘जपु’ है, जिसका  उच्चारण ‘जप’ करना है।",
P0001L03,हे नानक! अकाल पुरख आरम्भ से ही अस्तित्व वाला है~ युगों के आरम्भ से मौजूद है।,,,आदि = आरम्भ से। सचु = अस्तित्व वाला। शब्द ‘सचु’ संस्कृत के ‘सत्य’ का प्राकृत है~ जिसकी धातु ‘अस’ है। ‘अस’ का अर्थ है ‘होना’। जुगादि = युगों के आरम्भ से।,
P0001L04,इस समय भी मौजूद है और आगे भी अस्तित्व में रहेगा।१।,नोट: ये श्लोक मंगलाचरण के तौर पर है। इस में गुरू नानक देव जी ने अपने ईष्ट का स्वरूप बयान किया है। जिसका जप~ सिमरन करने का उपदेश इस सारी बाणी ‘जपु’ में किया गया है।इससे आगे बाणी ‘जपु’ की रचना शुरू होती है।,,है = अर्थात~ इस समय भी है। नानक = हे नानक। होसी = होगा~ रहेगा।१।,
P0001L05,अगर में लाखों बार (भी) (स्नान आदि से शरीर की) स्वच्छता रखूँ~ (तो भी इस तरह) स्वच्छता रखने से (मन की) स्वच्छता नहीं रहि सकती।,,,"सोचै = स्वच्छता रखने से~ पवित्रता कायम रखने से। सोचि = सुचि~ पवित्रता~ सुच। न होवई = नहीं हो सकती। सोची = मैं स्वच्छता रखूँ।
",
P0001L06,यदि मैं (शरीर की) एक-तार समाधि लगाई रखूँ; (तो भी इस तरह) चुप कर के रहने से मन शांत नहीं हो सकता।,नोट: इस पौड़ी की पाँचवीं लाइन पढ़ने से ये पता चलता है कि इस पौड़ी में गुरू नानक साहिब मन को ‘सचिआरा’ (सत्यनिष्ठ) करने का तरीका बता रहे हैं। सबसे पहले उन साधनों का जि़कर करते हैं जो और लोग इस्तेमाल कर रहे हैं। तीर्तों का स्नान~ जंगलों में जा के समाधी लगानी~ मन की भूख को पहले माया से तृप्त करने की कोशिश~ शास्त्रों की फिलासफी––ये आम प्रचलित तरीके थे। पर सत्गुरू जी इनसे अलग वह साधन बताते हैं~ जिसे गुरु सिखी का मौलिक सिद्धांत समझ लेना चाहिए~ भाव~ अकाल पुरखु की रजा में चलना।पहली चार लाईनों के ठीक अर्थ समझने के लिए पाँचवीं लाइन पर खास ध्यान देना जरूरी है। ‘किव सचिआरा होइअै किव कूड़ै तुटै पालि।’ इस लाइन को पहली हर एक लाइन के साथ पढ़ने से स्पष्ट हो जाता है कि पहिली हरेक लाइन में ‘मन’का ही जिकर है। पहली लाइन में ‘मन की सुच’~ दूसरी में ‘मन की चुप’~ तीसरी में ‘मन की भूख’ और चौथी में ‘मन की चतुराई’ का हाल बताया है। (प्र:) लफ्ज ‘सोचि’ के अर्थ ‘स्वच्छता’ से क्यूँ किए गए हैं? (उ:) मन की सोचों और चतुराईयों का तो चौथी लाइन में वर्णन कर दिया गया है~ इस वास्ते पहिली लाइन में कुछ और ख्याल है~ जो नीचे लिखी तुकों को पढ़ने से स्पष्ट हो जाता है:कहु नानक सचु धिआईअै॥सुचि होवै तां~ सचु पाईअै॥ (आसा दी वार)सोच करै दिनसु अरु राति॥मन की मैल न तन ते जाति॥ (सुखमनी)न सुचि संजमु तुलसी माला॥गोपी कानु न गऊ गोपाला॥तंतु मंतु पाखंडु न कोई~ना को वंसु वजाइदा॥7॥ (मारू महला १) ‘सोच’ का अर्थ है ‘स्नान’~ तथा ‘सुचि’ का अर्थ है ‘पवित्रता’। इन दो शब्दों को मिलाने से बना है ‘सोचि’। जिसका अर्थ है सॅुच~ पवित्रता~ स्नान। शब्द ‘सुचि’ स्त्रीलिंग है। संस्कृत में भी ये इसी रूप में है। जैसे शब्द ‘मन’ से ‘मनि’ बना है और जिसका अर्थ है ‘मन में’। लेकिन~ इस तरह ‘सोच’ से ‘सोचि’ नहीं बन सकता~ क्योंकि शब्द ‘मन’ पुलिंग है और ‘सोच’ (जिसका अर्थ ‘विचार’ है) स्त्रीलिंग है। सो~ शब्द ‘सोचि’ अधिकर्ण कारक की (ि) मात्रा के बिना ही असल रूप वाला संस्कृत का ही शब्द ‘सुचि’ है~ जिसके अर्थ हैं पवित्रता।,,चुपै = चुप कर रहने से। चुप = शांति~ मन की चुप~ मन का टिकाउ। लाइ रहा = मैं लगायी रखूँ। लिव तार = लिव की तार~ लिव की डोर~ एक तार समाधि।,
P0001L07,यदि मैं सारे भवनों के पदार्तों के ढेर (भी) संभाल लूँ~ तो भी त्रिष्णा के अधीन रहने से त्रिष्णा दूर नहीं हो सकती।,,,भुख = त्रिष्णा~ लालच। भुखिआ = त्रिष्णा के अधीन रहने से। न उतरी = दूर नहीं हो सकती। बंना = बांध लूँ~ सम्भाल लूँ। पुरी = लोक~ भवण। पुरीआ भार = सारे लोकों के भार। भार = पदार्तों के समूह।,
P0001L08,यदि~ (मेरे में) हजारों व लाखों ही चतुराईयां हों~ (तो भी उनमें से) एक भी चतुराई साथ नहीं देती।,,,सहस = हजारों। सिआणपा = चतुराईयां। होहि = हों। इक = एक भी चतुराई।,
P0001L09,(तो फिर) अकाल पुरख के प्रकाश होने योग्य कैसे बन सकते हैं (और हमारे अंदर का) झूठ का पर्दा कैसे कैसे टूट सकता है?,,,किव = किस तरह। होईअै = हो सकते हैं। कूड़ै पालि = झूठ की पाल~ झूठ की दीवार~ झूठ का पर्दा। सचिआरा = (सच आलय) सच का घर~ सत्य के प्रकाश के योग्य।,
P0001L10,रजा के मालिक अकाल पुरख के हुकम में चलना- (यही एक मात्र विधि है)। हे नानक! (ये विधि) आरम्भ से ही जब से जगत बना है~ लिखी चली आ रही है।1।,,भाव: प्रभू से जीव की दूरी मिटाने का एक ही तरीका है कि जीव उसकी रजा में चले। ये उसूल धुर से ही ईश्वर द्वारा जीव के लिए जरूरी हैं। पिता के कहने पर पुत्र चलता रहे तो प्यार~ ना चले तो दूरी पड़ती जाती है।,हुकमि = हुकम में। रजाई = रजा वाला~ अकाल पुरख। नालि = जीव के साथ ही~ शुरू से ही जब से जगत बना है।1।,
